"ID";"WijkenEnBuurten";"Codering_3";"OpleidingsniveauLaag_64";"OpleidingsniveauMiddelbaar_65";"OpleidingsniveauHoog_66"
"16808";"BU04730204";"BU04730204";"      80";"      70";"     210"
"16809";"BU04730205";"BU04730205";"     250";"     390";"     460"
"16810";"BU04730206";"BU04730206";"     480";"     860";"     690"
"16811";"WK047303  ";"WK047303  ";"       .";"       .";"       ."
"16812";"BU04730301";"BU04730301";"       .";"       .";"       ."
"16813";"BU04730302";"BU04730302";"       .";"       .";"       ."
"16814";"WK047304  ";"WK047304  ";"       .";"       .";"       ."
"16815";"BU04730401";"BU04730401";"       .";"       .";"       ."
"16816";"BU04730402";"BU04730402";"       .";"       .";"       ."
"16817";"BU04730403";"BU04730403";"       .";"       .";"       ."
"16818";"BU04730404";"BU04730404";"       .";"       .";"       ."
"16819";"GM0050    ";"GM0050    ";"    4140";"    8580";"    4900"
"16820";"WK005000  ";"WK005000  ";"    4140";"    8580";"    4900"
"16821";"BU00500000";"BU00500000";"     320";"     550";"     330"
"16822";"BU00500001";"BU00500001";"     770";"    1300";"     710"
"16823";"BU00500002";"BU00500002";"     920";"    1760";"    1260"
"16824";"BU00500003";"BU00500003";"    1080";"    2550";"    1270"
"16825";"BU00500004";"BU00500004";"     650";"    1500";"     930"
"16826";"BU00500005";"BU00500005";"       .";"       .";"       ."
"16827";"BU00500006";"BU00500006";"     270";"     540";"     210"
"16828";"BU00500007";"BU00500007";"     110";"     270";"     120"
"16829";"BU00500008";"BU00500008";"      30";"      70";"      40"
"16830";"BU00500009";"BU00500009";"       .";"       .";"       ."
"16831";"BU00500010";"BU00500010";"       .";"       .";"       ."
"16832";"GM0355    ";"GM0355    ";"   11150";"   16210";"   20010"
"16833";"WK035501  ";"WK035501  ";"    2370";"    3900";"    5380"
"16834";"BU03550101";"BU03550101";"     640";"    1070";"     920"
"16835";"BU03550102";"BU03550102";"     300";"     660";"    1200"
"16836";"BU03550103";"BU03550103";"     990";"    1400";"    1430"
"16837";"BU03550104";"BU03550104";"     410";"     680";"    1690"
"16838";"BU03550105";"BU03550105";"      20";"      90";"     160"
"16839";"WK035502  ";"WK035502  ";"    3060";"    4660";"    4790"
"16840";"BU03550201";"BU03550201";"     570";"     900";"    1480"
"16841";"BU03550202";"BU03550202";"     630";"     740";"     830"
"16842";"BU03550203";"BU03550203";"     490";"     470";"     270"
"16843";"BU03550204";"BU03550204";"     290";"     860";"     690"
"16844";"BU03550205";"BU03550205";"     960";"    1410";"     950"
"16845";"BU03550206";"BU03550206";"     160";"     300";"     520"
"16846";"WK035503  ";"WK035503  ";"    2880";"    3690";"    3860"
"16847";"BU03550301";"BU03550301";"     440";"     740";"    1040"
"16848";"BU03550302";"BU03550302";"     660";"     730";"     520"
"16849";"BU03550303";"BU03550303";"     160";"     410";"     270"
"16850";"BU03550304";"BU03550304";"     410";"     490";"     520"
"16851";"BU03550305";"BU03550305";"     480";"     650";"     800"
"16852";"BU03550306";"BU03550306";"     110";"      70";"      70"
"16853";"BU03550307";"BU03550307";"     630";"     560";"     580"
"16854";"BU03550308";"BU03550308";"       .";"       .";"       ."
"16855";"BU03550309";"BU03550309";"       .";"       .";"       ."
"16856";"WK035504  ";"WK035504  ";"    1310";"    1890";"    2770"
"16857";"BU03550401";"BU03550401";"     350";"     510";"    1210"
"16858";"BU03550402";"BU03550402";"     560";"     650";"     890"
"16859";"BU03550403";"BU03550403";"      50";"      80";"      90"
"16860";"BU03550404";"BU03550404";"       .";"       .";"       ."
"16861";"BU03550405";"BU03550405";"      20";"      70";"     110"
"16862";"BU03550406";"BU03550406";"     290";"     490";"     490"
"16863";"BU03550407";"BU03550407";"       .";"       .";"       ."
"16864";"WK035505  ";"WK035505  ";"    1530";"    2060";"    3210"
"16865";"BU03550501";"BU03550501";"      80";"     150";"     200"
"16866";"BU03550502";"BU03550502";"      80";"      90";"     260"
"16867";"BU03550503";"BU03550503";"     240";"     300";"     720"
"16868";"BU03550504";"BU03550504";"     260";"      60";"      10"
"16869";"BU03550505";"BU03550505";"     120";"     530";"     640"
"16870";"BU03550506";"BU03550506";"     670";"     590";"     680"
"16871";"BU03550507";"BU03550507";"      20";"      30";"      40"
"16872";"BU03550508";"BU03550508";"     170";"     240";"     620"
"16873";"GM0299    ";"GM0299    ";"   10270";"   15500";"    7540"
"16874";"WK029900  ";"WK029900  ";"    5210";"    8700";"    4870"
"16875";"BU02990000";"BU02990000";"     160";"     330";"     260"
"16876";"BU02990001";"BU02990001";"     340";"     450";"     290"
"16877";"BU02990002";"BU02990002";"     360";"     570";"     230"
"16878";"BU02990003";"BU02990003";"     560";"     780";"     280"
"16879";"BU02990004";"BU02990004";"    1020";"    1550";"     610"
"16880";"BU02990005";"BU02990005";"     550";"     600";"     370"
"16881";"BU02990006";"BU02990006";"     670";"    1050";"     560"
"16882";"BU02990007";"BU02990007";"     240";"     530";"     340"
"16883";"BU02990008";"BU02990008";"       .";"       .";"       ."
"16884";"BU02990009";"BU02990009";"     170";"     290";"     270"
"16885";"BU02990010";"BU02990010";"     640";"    1110";"     560"
"16886";"BU02990011";"BU02990011";"       .";"       .";"       ."
"16887";"BU02990012";"BU02990012";"       .";"       .";"       ."
